tabela;coluna;descricao;dominio_esperado;unidade;origem_linhagem
silver_preco_coletado;data_coleta;Data informada para a coleta de preço;Data válida entre 2022-01-01 e 2024-12-31;data;ANP preços > Data da Coleta
silver_preco_coletado;cnpj;CNPJ da revenda apenas com dígitos;14 dígitos quando válido;identificador público;ANP preços > CNPJ da Revenda
silver_preco_coletado;cnpj_formato_valido;Indica se o CNPJ tem 14 dígitos;true ou false;booleano;regra de normalização CNPJ
silver_preco_coletado;municipio_origem;Município como publicado na pesquisa;texto não vazio;texto;ANP preços > Municipio
silver_preco_coletado;municipio_norm;Município em maiúsculas e sem acentos;texto normalizado;texto;normalização de municipio_origem
silver_preco_coletado;codigo_ibge;Código IBGE conciliado a partir das vendas;7 dígitos ou nulo quando não conciliado;identificador geográfico;vendas municipais > CÓDIGO IBGE
silver_preco_coletado;municipio_conciliado;Indica se o município encontrou código IBGE;true ou false;booleano;regra de conciliação municipal
silver_preco_coletado;produto_origem;Produto como publicado pela pesquisa;categoria ANP;texto;ANP preços > Produto
silver_preco_coletado;produto_analitico;Produto conformado para o modelo;GASOLINA_C, ETANOL_HIDRATADO ou categoria mapeada;texto;config/produto_mapeamento.csv
silver_preco_coletado;compatibilidade_analitica;Tipo de compatibilidade entre fontes;direta, agregada ou somente_preco;texto;config/produto_mapeamento.csv
silver_preco_coletado;preco_venda;Valor de venda convertido para decimal;maior que zero quando válido;R$/litro ou R$/m³ conforme unidade;ANP preços > Valor de Venda
silver_preco_coletado;unidade_medida;Unidade publicada para o preço;categoria ANP;texto;ANP preços > Unidade de Medida
silver_preco_coletado;preco_valido;Indica preço preenchido e positivo;true ou false;booleano;regra de domínio de preco_venda
silver_preco_coletado;chave_preco;Hash da chave natural de preço;SHA-256;identificador técnico;CNPJ + produto + data
silver_preco_coletado;duplicidade_chave;Indica repetição da chave natural;true ou false;booleano;contagem por chave_preco
silver_preco_coletado;selecionado_para_agregacao;Indica a linha escolhida após desempate determinístico da chave;true ou false;booleano;ordem por arquivo_origem e preco_venda
silver_preco_coletado;bandeira;Bandeira publicada para a revenda;categoria ANP ou nulo;texto;ANP preços > Bandeira
silver_venda_municipio;ano;Ano de referência da venda;2022 a 2024;ano;ANP vendas > ANO
silver_venda_municipio;codigo_ibge;Código IBGE do município;7 dígitos;identificador geográfico;ANP vendas > CÓDIGO IBGE
